infinitive,past_simple,past_participle
lay,laid,laid
pay,paid,paid
say,said,said
sell,sold,sold
tell,told,told
retell,retold,retold
hear,heard,heard
overhear,overheard,overheard
make,made,made
have,had,had
build,built,built
rebuild,rebuilt,rebuilt
shine,shone,shone
bend,bent,bent
lend,lent,lent
send,sent,sent
spend,spent,spent
burn,burnt,burnt
sunburn,sunburnt,sunburnt
learn,learnt,learnt
spoil,spoilt,spoilt
spill,spilt,spilt
spell,spelt,spelt
misspell,misspelt,misspelt
dwell,dwelt,dwelt
smell,smelt,smelt
feel,felt,felt
keep,kept,kept
weep,wept,wept
sweep,swept,swept
leap,leapt,leapt
sleep,slept,slept
deal,dealt,dealt
kneel,knelt,knelt
dream,dreamt,dreamt
mean,meant,meant
lean,leant,leant
leave,left,left
lose,lost,lost
shoot,shot,shot
catch,caught,caught
teach,taught,taught
bring,brought,brought
buy,bought,bought
fight,fought,fought
seek,sought,sought
think,thought,thought
bind,bound,bound
find,found,found
wind,wound,wound
light,lit,lit
slide,slid,slid
hang,hung,hung
strike,struck,struck
dig,dug,dug
spin,spun,spun
swing,swung,swung
stick,stuck,stuck
sting,stung,stung
string,strung,strung
win,won,won
hold,held,held
bleed,bled,bled
breed,bred,bred
lead,led,led
feed,fed,fed
speed,sped,sped
meet,met,met
read,read,read
stand,stood,stood
understand,understood,understood
misunderstand,misunderstood,misunderstood
get,got,got
sit,sat,sat
